agentID,agentIdentifier,agentIdentifierType
0,https://arctos.database.museum/agent/0,Arctos
690,https://arctos.database.museum/agent/690,Arctos
796,https://arctos.database.museum/agent/796,Arctos
4108,https://arctos.database.museum/agent/4108,Arctos
4190,https://arctos.database.museum/agent/4190,Arctos
4254,https://arctos.database.museum/agent/4254,Arctos
4424,https://arctos.database.museum/agent/4424,Arctos
4446,https://arctos.database.museum/agent/4446,Arctos
4447,https://arctos.database.museum/agent/4447,Arctos
1003897,https://arctos.database.museum/agent/1003897,Arctos
1008624,https://arctos.database.museum/agent/1008624,Arctos
1009385,https://arctos.database.museum/agent/1009385,Arctos
1009906,https://arctos.database.museum/agent/1009906,Arctos
1010151,https://arctos.database.museum/agent/1010151,Arctos
1010154,https://arctos.database.museum/agent/1010154,Arctos
1010298,https://arctos.database.museum/agent/1010298,Arctos
1010566,https://arctos.database.museum/agent/1010566,Arctos
1010581,https://arctos.database.museum/agent/1010581,Arctos
1010660,https://arctos.database.museum/agent/1010660,Arctos
1010772,https://arctos.database.museum/agent/1010772,Arctos
1012006,https://arctos.database.museum/agent/1012006,Arctos
1014941,https://arctos.database.museum/agent/1014941,Arctos
1016302,https://arctos.database.museum/agent/1016302,Arctos
1016443,https://arctos.database.museum/agent/1016443,Arctos
1017036,https://arctos.database.museum/agent/1017036,Arctos
1017037,https://arctos.database.museum/agent/1017037,Arctos
1017038,https://arctos.database.museum/agent/1017038,Arctos
1017039,https://arctos.database.museum/agent/1017039,Arctos
1017040,https://arctos.database.museum/agent/1017040,Arctos
1017041,https://arctos.database.museum/agent/1017041,Arctos
10001736,https://arctos.database.museum/agent/10001736,Arctos
10002371,https://arctos.database.museum/agent/10002371,Arctos
10012483,https://arctos.database.museum/agent/10012483,Arctos
10013287,https://arctos.database.museum/agent/10013287,Arctos
10013295,https://arctos.database.museum/agent/10013295,Arctos
10014103,https://arctos.database.museum/agent/10014103,Arctos
10014199,https://arctos.database.museum/agent/10014199,Arctos
10014313,https://arctos.database.museum/agent/10014313,Arctos
10014749,https://arctos.database.museum/agent/10014749,Arctos
10014794,https://arctos.database.museum/agent/10014794,Arctos
10014966,https://arctos.database.museum/agent/10014966,Arctos
10015083,https://arctos.database.museum/agent/10015083,Arctos
10015165,https://arctos.database.museum/agent/10015165,Arctos
10015392,https://arctos.database.museum/agent/10015392,Arctos
10015521,https://arctos.database.museum/agent/10015521,Arctos
10015543,https://arctos.database.museum/agent/10015543,Arctos
21247708,https://arctos.database.museum/agent/21247708,Arctos
21247732,https://arctos.database.museum/agent/21247732,Arctos
21247846,https://arctos.database.museum/agent/21247846,Arctos
21247870,https://arctos.database.museum/agent/21247870,Arctos
21247886,https://arctos.database.museum/agent/21247886,Arctos
21248083,https://arctos.database.museum/agent/21248083,Arctos
21248099,https://arctos.database.museum/agent/21248099,Arctos
21248102,https://arctos.database.museum/agent/21248102,Arctos
21248328,https://arctos.database.museum/agent/21248328,Arctos
21248457,https://arctos.database.museum/agent/21248457,Arctos
21248458,https://arctos.database.museum/agent/21248458,Arctos
21249313,https://arctos.database.museum/agent/21249313,Arctos
21249317,https://arctos.database.museum/agent/21249317,Arctos
21252982,https://arctos.database.museum/agent/21252982,Arctos
21253199,https://arctos.database.museum/agent/21253199,Arctos
21253200,https://arctos.database.museum/agent/21253200,Arctos
21253210,https://arctos.database.museum/agent/21253210,Arctos
21253252,https://arctos.database.museum/agent/21253252,Arctos
21253730,https://arctos.database.museum/agent/21253730,Arctos
21253731,https://arctos.database.museum/agent/21253731,Arctos
21256035,https://arctos.database.museum/agent/21256035,Arctos
21256271,https://arctos.database.museum/agent/21256271,Arctos
21256290,https://arctos.database.museum/agent/21256290,Arctos
21256366,https://arctos.database.museum/agent/21256366,Arctos
21258197,https://arctos.database.museum/agent/21258197,Arctos
21259512,https://arctos.database.museum/agent/21259512,Arctos
21260113,https://arctos.database.museum/agent/21260113,Arctos
21263128,https://arctos.database.museum/agent/21263128,Arctos
21279036,https://arctos.database.museum/agent/21279036,Arctos
21279994,https://arctos.database.museum/agent/21279994,Arctos
21281730,https://arctos.database.museum/agent/21281730,Arctos
21281731,https://arctos.database.museum/agent/21281731,Arctos
21281732,https://arctos.database.museum/agent/21281732,Arctos
21281734,https://arctos.database.museum/agent/21281734,Arctos
21281735,https://arctos.database.museum/agent/21281735,Arctos
21289470,https://arctos.database.museum/agent/21289470,Arctos
21292406,https://arctos.database.museum/agent/21292406,Arctos
21301163,https://arctos.database.museum/agent/21301163,Arctos
21301183,https://arctos.database.museum/agent/21301183,Arctos
21301807,https://arctos.database.museum/agent/21301807,Arctos
21302104,https://arctos.database.museum/agent/21302104,Arctos
21308659,https://arctos.database.museum/agent/21308659,Arctos
21311202,https://arctos.database.museum/agent/21311202,Arctos
21311205,https://arctos.database.museum/agent/21311205,Arctos
21311206,https://arctos.database.museum/agent/21311206,Arctos
21311207,https://arctos.database.museum/agent/21311207,Arctos
21311208,https://arctos.database.museum/agent/21311208,Arctos
21311209,https://arctos.database.museum/agent/21311209,Arctos
21314876,https://arctos.database.museum/agent/21314876,Arctos
21319376,https://arctos.database.museum/agent/21319376,Arctos
21320362,https://arctos.database.museum/agent/21320362,Arctos
21320856,https://arctos.database.museum/agent/21320856,Arctos
