digitalEntityID,digitalEntityAssertionType,digitalEntityAssertionValue,digitalEntityAssertionValueNumeric,digitalEntityAssertionUnit,digitalEntityAssertionByAgentID,digitalEntityAssertionDate,digitalEntityAssertionProtocol,digitalEntityAssertionRemarks
10207228,made date,14 July 2007,,,,,,
10207231,made date,14 July 2007,,,,,,
10212653,comment,"Photograph taken in Museum of Vertebrate Zoology, Berkeley.",,,,,,
10312517,description,Ventral view skin,,,,,,
10312720,description,Dorsal view mandible,,,,,,
10203450,subject,bird,,,,,,
10604439,MD5 checksum,1b78c634fbe8230978e73f09872b600b,,,,,,
10312514,description,Lateral view skin,,,,,,
10313319,description,Dwight Moore fieldnotes 6-7 October 1984,,,,,,
10312545,description,Joseph A. Cook field catalog page (JAC 1457),,,,,,
10007945,description,"Nest and eggs of Sandhill Cranes (Now MVZ Accession No. 4245, Egg Cat. No. 2547)",,,,,,
10203450,description,Scan of egg data card.,,,,,,
10207232,description,"North Crestone Campground, looking west along north slope of canyon and FR950",,,,,,
10257326,subject,amphibian,,,,,,
10604438,MD5 checksum,1da322cba93b31338e3f5ac4e4b6fe63,,,,,,
10257326,description,"CalPhotos image of <i>Karsenia koreana</i>, collected in Chung-cheongnam-do, Korea, photo taken in Berkeley, California",,,,,,
10207228,description,Looking southwest towards the San Luis Valley,,,,,,
10007944,description,Sandhill Cranes (pertains to MVZ Accession No. 4245,,,,,,
10207232,MD5 checksum,34ade061353d112719647289512d1485,,,,,,
10207231,description,Looking northeast towards Venable Peak,,,,,,
10207229,made date,14 July 2007,,,,,,
10312723,description,Ventral view skull,,,,,,
10604439,description,Gigapan Image - Tamias quadrivittatus,,,,,,
10007944,comment,Only web versions of MVZ images are licensed under a Creative Commons Attribution License (CC-BY).,,,,,,
10212653,made date,2011-10-18,,,,,,
10007945,subject,bird,,,,,,
10207233,made date,14 July 2007,,,,,,
10007944,media identifier,MVZ 8309,,,,,,
10007945,comment,Only web versions of MVZ images are licensed under a Creative Commons Attribution License (CC-BY).,,,,,,
10212653,comment,Only web versions of MVZ images are licensed under a Creative Commons Attribution License (CC-BY).,,,,,,
10257327,description,"CalPhotos image of <i>Karsenia koreana</i>, collected in Chung-cheongnam-do, Korea, photo taken in Berkeley, California",,,,,,
10007945,made date,1931-05-02,,,,,,
10604439,made date,2018-11-07,,,,,,
10212653,subject,bird,,,,,,
10212653,comment,Please contact the MVZ Archives (mvzarchives[at]berkeley.edu) for licensing and use of high resolution images. See http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf,,,,,,
10007945,comment,Please contact the MVZ Archives (mvzarchives[at]berkeley.edu) for licensing and use of high resolution images. See http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf,,,,,,
10470991,description,shows object on exhibit,,,,,,
10312722,description,Lateral view skull,,,,,,
10604438,description,Gigapan Image - Tamias quadrivittatus,,,,,,
10312509,description,Dorsal view skin,,,,,,
10312764,description,Joseph A. Cook fieldnotes (6-7 Oct 1984),,,,,,
10207229,description,Looking southwest towards the San Luis Valley,,,,,,
10007944,comment,Please contact the MVZ Archives (mvzarchives[at]berkeley.edu) for licensing and use of high resolution images. See http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf,,,,,,
10207229,MD5 checksum,0dcacaeedab4759ab352d2f04d2d4be0,,,,,,
10604438,made date,2018-11-07,,,,,,
10257327,made date,2004-10-07,,,,,,
10257326,made date,2004-10-07,,,,,,
10007944,made date,1931-05-02,,,,,,
10212653,description,Photograph of eggs.,,,,,,
10312721,description,Lateral view mandible,,,,,,
10207233,MD5 checksum,446f8af2c3391b73769b2e91d6a46def,,,,,,
10207228,MD5 checksum,4731409aa6f163467b1719d802da5c0b,,,,,,
10207232,made date,14 July 2007,,,,,,
10257327,subject,amphibian,,,,,,
10207231,MD5 checksum,2299b6d893003160c95a5d1d7451eba8,,,,,,
10007945,media identifier,MVZ 8310,,,,,,
10007944,subject,habitat/landscape,,,,,,
10312522,description,Dorsal view skull,,,,,,
10207233,description,"North slope of canyon of North Crestone Creek, across from North Crestone Campground",,,,,,
