entityRelationshipID,dependsOnEntityRelationshipID,subjectEntityID,entityRelationshipType,objectEntityID
,,21714980,host of,http://arctos.database.museum/guid/DMNS:Para:664
,,21714980,host of,http://arctos.database.museum/guid/DMNS:Para:64
,,21714980,host of,http://arctos.database.museum/guid/DMNS:Para:65
,,29610849,parasite of,http://arctos.database.museum/guid/DMNS:Mamm:11098
,,29610849,collected with,http://arctos.database.museum/guid/DMNS:Para:664
,,29610849,collected with,http://arctos.database.museum/guid/DMNS:Para:65
,,29610851,parasite of,http://arctos.database.museum/guid/DMNS:Mamm:11098
,,29610851,collected with,http://arctos.database.museum/guid/DMNS:Para:664
,,29610851,collected with,http://arctos.database.museum/guid/DMNS:Para:64
,,10007944,shows cataloged_item,10599395
,,10007945,shows cataloged_item,10599395
,,10203450,shows cataloged_item,10599395
,,10212653,shows cataloged_item,10599395
,,10257326,shows cataloged_item,21176824
,,10257327,shows cataloged_item,21176824
,,10312509,shows cataloged_item,1906948
,,10312514,shows cataloged_item,1906948
,,10312517,shows cataloged_item,1906948
,,10312522,shows cataloged_item,1906948
,,10312545,shows cataloged_item,1906948
,,10312720,shows cataloged_item,1906948
,,10312721,shows cataloged_item,1906948
,,10312722,shows cataloged_item,1906948
,,10312723,shows cataloged_item,1906948
,,10312764,shows cataloged_item,1906948
,,10313319,shows cataloged_item,1906948
,,10470991,shows cataloged_item,23825198
,,10604438,shows cataloged_item,21714980
,,10604439,shows cataloged_item,21714980
,,21714981,part of,21714980
,,21714982,part of,21714980
,,21714987,part of,21714980
,,21714983,part of,21714980
,,21714984,part of,21714980
,,21714985,part of,21714980
,,21714986,part of,21714980
,,29610850,part of,29610849
,,29610852,part of,29610851
,,27237942,part of,1906948
,,1906949,part of,1906948
,,1906951,part of,1906948
,,2147317,part of,1906948
,,2147316,part of,1906948
,,2147315,part of,1906948
,,2782031,part of,1906948
,,1906950,part of,1906948
,,2147319,part of,1906948
,,27249945,part of,1906948
,,2147318,part of,1906948
,,3002162,part of,1906948
,,27237943,part of,1906948
,,21261239,part of,10599395
,,21176825,part of,21176824
,,29226084,part of,29211836
,,23825199,part of,23825198
,,23825200,part of,23825198
,,2782031,sampled from,2147315
,,3002162,sampled from,2147318
