identificationID,agentID,identificationAgentRole,identificationAgentRoleBegan,identificationAgentRoleEnded,identificationAgentRoleOrder
11048323,796,determiner,,,1
14911906,4446,determiner,,,1
14911907,4446,determiner,,,1
11398705,1003897,determiner,,,1
11398705,1009906,determiner,,,2
11398705,1010566,determiner,,,3
11446499,21249316,determiner,,,1
11446473,4424,determiner,,,1
11446628,10015083,determiner,,,1
11446628,21249313,determiner,,,2
11446627,1003897,determiner,,,1
11446627,1010154,determiner,,,2
11446627,1010298,determiner,,,3
12217743,1010660,determiner,,,1
12217743,1010772,determiner,,,2
12217743,21248083,determiner,,,3
11446430,4190,determiner,,,1
11446430,1016443,determiner,,,2
11446430,21247708,determiner,,,3
11446651,1003897,determiner,,,1
11446651,1010154,determiner,,,2
11446651,1010298,determiner,,,3
11446498,21263128,determiner,,,1
11386319,1003897,determiner,,,1
11386319,1009906,determiner,,,2
11387735,1017036,determiner,,,1
11387735,1017037,determiner,,,2
11387735,1017038,determiner,,,3
11387735,1017039,determiner,,,4
11387735,1017040,determiner,,,5
11387735,1017041,determiner,,,6
11446451,10014749,determiner,,,1
11446451,21247708,determiner,,,2
11446626,1009906,determiner,,,1
11385633,1003897,determiner,,,1
11385633,1008624,determiner,,,2
11385633,1009385,determiner,,,3
11385633,1010154,determiner,,,4
11446496,10014749,determiner,,,1
11446496,21247708,determiner,,,2
11446495,4190,determiner,,,1
11446495,1016443,determiner,,,2
11446495,21247708,determiner,,,3
11951253,21248458,determiner,,,1
11951253,21253252,determiner,,,2
11951253,21281734,determiner,,,3
11951253,21281735,determiner,,,4
12853328,690,determiner,,,1
12853328,1010151,determiner,,,2
11951249,1016443,determiner,,,1
11951249,21247708,determiner,,,2
11951249,10014313,determiner,,,3
11951249,21256366,determiner,,,4
11951249,21281730,determiner,,,5
11951249,21281731,determiner,,,6
11951249,21281732,determiner,,,7
12217300,4424,determiner,,,1
12219250,4108,determiner,,,1
12219250,1016443,determiner,,,2
12219250,21247708,determiner,,,3
14238974,1010154,determiner,,,1
14238974,1016443,determiner,,,2
14238974,21247886,determiner,,,3
12853045,21301163,determiner,,,1
12853067,4424,determiner,,,1
12853067,21259512,determiner,,,2
14238880,21248102,determiner,,,1
14238880,21319376,determiner,,,2
14240625,21247708,determiner,,,1
14240625,21248099,determiner,,,2
14240625,21256271,determiner,,,3
14240439,4424,determiner,,,1
14240439,21248457,determiner,,,2
14240439,21301183,determiner,,,3
14240450,4424,determiner,,,1
14240450,21259512,determiner,,,2
10179143,10014238,determiner,,,1
14152002,21282690,determiner,,,1
10766424,10013287,determiner,,,1
11394878,10012483,determiner,,,1
11394878,10015521,determiner,,,2
11394878,21247870,determiner,,,3
11391085,10012483,determiner,,,1
11391085,10013287,determiner,,,2
11391085,10014966,determiner,,,3
11391085,10015165,determiner,,,4
11391085,10015521,determiner,,,5
11391085,10015543,determiner,,,6
14719184,0,determiner,,,1
12043839,0,determiner,,,1
