materialEntityID,materialEntityAssertionType,materialEntityAssertionValue,materialEntityAssertionValueNumeric,materialEntityAssertionUnit,materialEntityAssertionByAgentID,materialEntityAssertionDate,materialEntityAssertionProtocol,materialEntityAssertionRemarks
21714984,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
21714983,preservation,frozen,,,,2021-07-01,,"Added from original part heart, kidney (frozen)."
21714985,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
21714986,preservation,ethanol,,,,2021-07-01,,Added from original part ectoparasite (ethanol).
29610850,preservation,"ethanol, 95%",,,796,2021-01-15,,
29610850,preservation,"ethanol, 95%",,,,2021-07-01,,Added from original part whole organism (95% ethanol).
29610852,preservation,"ethanol, 75%",,,796,2021-01-15,,
29610852,preservation,"ethanol, 75%",,,,2021-07-01,,Added from original part whole organism (75% ethanol).
26462266,preservation,slide,,,,2021-07-01,,Added from original part whole organism (slide).
29610848,preservation,"ethanol, 95%",,,,2021-07-01,,Added from original part tissue (95% ethanol).
27237942,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
2147317,preservation,frozen,,,,2021-07-01,,Added from original part karyotype (frozen).
2147316,preservation,frozen,,,,2021-07-01,,Added from original part kidney (frozen).
2147315,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
2782031,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
1906950,part modifier,postcranial,,,,,,
2147319,preservation,frozen,,,,2021-07-01,,"Added from original part heart, kidney (frozen)."
27249945,preservation,frozen,,,,2021-07-01,,Added from original part karyotype (frozen).
2147318,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
3002162,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
27237943,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
21176825,preservation,ethanol,,,,2021-07-01,,Added from original part whole organism (ethanol).
29226084,part modifier,appendicular,,,,,,
21714984,disposition,in collection,,,,,,
21714981,disposition,in collection,,,,,,
21714982,disposition,in collection,,,,,,
21714983,disposition,in collection,,,,,,
21714985,disposition,in collection,,,,,,
21714986,disposition,in collection,,,,,,
21714987,disposition,in collection,,,,,,
29610850,disposition,in collection,,,,,,
29610852,disposition,in collection,,,,,,
26462266,disposition,in collection,,,,,,
29610848,disposition,in collection,,,,,,
27237942,disposition,in collection,,,,,,
1906949,disposition,in collection,,,,,,
1906951,disposition,unknown,,,,,,
2147317,disposition,in collection,,,,,,
2147316,disposition,in collection,,,,,,
2147315,disposition,in collection,,,,,,
2782031,disposition,on loan,,,,,,
1906950,disposition,unknown,,,,,,
2147319,disposition,in collection,,,,,,
27249945,disposition,in collection,,,,,,
2147318,disposition,in collection,,,,,,
3002162,disposition,on loan,,,,,,
27237943,disposition,in collection,,,,,,
21261239,disposition,in collection,,,,,,
21176825,disposition,in collection,,,,,,
29226084,disposition,in collection,,,,,,
23825199,disposition,in collection,,,,,,
23825200,disposition,in collection,,,,,,
21714984,,,1,,,,,
21714981,,,1,,,,,
21714982,,,1,,,,,
21714983,,,1,,,,,
21714985,,,1,,,,,
21714986,,,1,,,,,
21714987,,,1,,,,,
29610850,,,1,,,,,
29610852,,,1,,,,,
26462266,,,1,,,,,
29610848,,,1,,,,,
27237942,,,1,,,,,
1906949,,,1,,,,,
1906951,,,1,,,,,
2147317,,,1,,,,,
2147316,,,1,,,,,
2147315,,,1,,,,,
2782031,,,1,,,,,
1906950,,,1,,,,,
2147319,,,1,,,,,
27249945,,,1,,,,,
2147318,,,1,,,,,
3002162,,,1,,,,,
27237943,,,1,,,,,
21261239,,,2,,,,,
21176825,,,1,,,,,
29226084,,,1,,,,,
23825199,,,1,,,,,
23825200,,,1,,,,,
21714984,,very good,,,,,,
21714981,,excellent,,,,,,
21714982,,excellent,,,,,,
21714983,,very good,,,,,,
21714985,,very good,,,,,,
21714986,,very good,,,,,,
21714987,,excellent,,,,,,
29610850,,very good,,,,,,
29610852,,very good,,,,,,
26462266,,very good,,,,,,
29610848,,very good,,,,,,
27237942,,unchecked,,,,,,
1906949,,excellent,,,,,,
1906951,,excellent,,,,,,
2147317,,good,,,,,,
2147316,,good,,,,,,
2147315,,good,,,,,,
2782031,,good,,,,,,
1906950,,good,,,,,,
2147319,,good,,,,,,
27249945,,unchecked,,,,,,
2147318,,good,,,,,,
3002162,,good,,,,,,
27237943,,unchecked,,,,,,
21261239,,unchecked,,,,,,
21176825,,unchecked,,,,,,
29226084,,"partial, end only",,,,,,
23825199,,TRUE,,,,,,
23825200,,not recorded,,,,,,
