eventID,locationID,eventType,parentEventID,protocolID,time,environment
1,NV001,Collect,,,2014-11-17,
2,NV002,Collect,,,2014-11-18,
3,NV003,Collect,,,2014-11-17,
4,NV004,Collect,,,2014-11-18,
5,NV005,Collect,,,2014-11-18,
6,NV006,Collect,,,2014-11-18,
7,NV007,Collect,,,2014-11-18,
8,NV008,Collect,,,2014-11-17,
9,NV009,Collect,,,2014-11-18,
10,NT010,Collect,,,2014-11-16,
11,NT011,Collect,,,2014-11-16,
12,NT012,Collect,,,2014-11-16,
13,NT013,Collect,,,2014-11-17,
14,NT014,Collect,,,2014-11-16,
15,NT015,Collect,,,2014-11-16,
16,NT016,Collect,,,2014-11-17,
17,NT017,Collect,,,2014-11-17,
18,NT018,Collect,,,2014-11-17,
19,NH019,Collect,,,2014-11-19,
20,NH020,Collect,,,2014-11-19,
21,NH021,Collect,,,2014-11-19,
22,NH022,Collect,,,2014-11-19,
23,NH023,Collect,,,2014-11-19,
24,NH024,Collect,,,2014-11-19,
25,NH025,Collect,,,2014-11-19,
26,NH026,Collect,,,2014-11-19,
27,VU027,Collect,,,2014-11-12,
28,VU028,Collect,,,2014-11-11,
29,VU029,Collect,,,2014-11-12,
30,VU030,Collect,,,2014-11-12,
31,VU031,Collect,,,2014-11-11,
32,VU032,Collect,,,2014-11-11,
33,VU033,Collect,,,2014-11-12,
34,VU034,Collect,,,2014-11-12,
35,VU035,Collect,,,2014-11-12,
36,VO036,Collect,,,2014-11-11,
37,VO037,Collect,,,2014-11-11,
38,VO038,Collect,,,2014-11-10,
39,VO039,Collect,,,2014-11-10,
40,VO040,Collect,,,2014-11-11,
41,VO041,Collect,,,2014-11-10,
42,VO042,Collect,,,2014-11-10,
43,VO043,Collect,,,2014-11-10,
44,VD044,Collect,,,2014-11-06,
45,VD045,Collect,,,2014-11-06,
46,VD046,Collect,,,2014-11-06,
47,VD047,Collect,,,2014-11-06,
48,VD048,Collect,,,2014-11-06,
49,VD049,Collect,,,2014-11-06,
50,VD050,Collect,,,2014-11-06,
51,VD051,Collect,,,2014-11-06,
52,VD052,Collect,,,2014-11-06,
53,EM053,Collect,,,2014-11-13,
54,EM054,Collect,,,2014-11-13,
55,EM055,Collect,,,2014-11-13,
56,EM056,Collect,,,2014-11-13,
57,EM057,Collect,,,2014-11-13,
58,EM058,Collect,,,2014-11-13,
59,EM059,Collect,,,2014-11-13,
60,EM060,Collect,,,2014-11-13,
61,EM061,Collect,,,2014-11-13,
62,ES062,Collect,,,2014-10-18,
63,ES063,Collect,,,2014-10-18,
64,ES064,Collect,,,2014-10-16,
65,ES065,Collect,,,2014-10-18,
66,ES066,Collect,,,2014-10-16,
67,ES067,Collect,,,2014-10-18,
68,ES068,Collect,,,2014-10-18,
69,ES069,Collect,,,2014-10-18,
70,ES070,Collect,,,2014-10-18,
71,EV071,Collect,,,2014-11-04,
72,EV072,Collect,,,2014-11-04,
73,EV073,Collect,,,2014-11-04,
74,EV074,Collect,,,2014-11-04,
75,EV075,Collect,,,2014-11-04,
76,EV076,Collect,,,2014-11-04,
77,EV077,Collect,,,2014-11-04,
78,EV078,Collect,,,2014-11-04,
79,SN079,Collect,,,2014-10-27,
80,SN080,Collect,,,2014-10-27,
81,SN081,Collect,,,2014-10-27,
82,SN082,Collect,,,2014-10-27,
83,SN083,Collect,,,2014-10-27,
84,SN084,Collect,,,2014-10-27,
85,SN085,Collect,,,2014-10-27,
86,SN086,Collect,,,2014-10-27,
87,SN087,Collect,,,2014-10-27,
88,SV088,Collect,,,2014-10-23,
89,SV089,Collect,,,2014-10-23,
90,SV090,Collect,,,2014-10-23,
91,SV091,Collect,,,2014-10-23,
92,SV092,Collect,,,2014-10-23,
93,SV093,Collect,,,2014-10-23,
94,SV094,Collect,,,2014-10-23,
95,SV095,Collect,,,2014-10-23,
96,SM096,Collect,,,2014-10-24,
97,SM097,Collect,,,2014-10-21,
98,SM098,Collect,,,2014-10-21,
99,SM099,Collect,,,2014-10-24,
100,SM100,Collect,,,2014-10-24,
101,SM101,Collect,,,2014-10-21,
102,SM102,Collect,,,2014-10-21,
103,SM103,Collect,,,2014-10-21,
104,SM104,Collect,,,2014-10-21,
105,FF105,Collect,,,2014-10-30,
106,FF106,Collect,,,2014-10-30,
107,FF107,Collect,,,2014-10-30,
108,FF108,Collect,,,2014-10-30,
109,FF109,Collect,,,2014-10-30,
110,FF110,Collect,,,2014-10-30,
111,FF111,Collect,,,2014-10-30,
112,FF112,Collect,,,2014-10-30,
113,FL113,Collect,,,2014-10-28,
114,FL114,Collect,,,2014-10-28,
115,FL115,Collect,,,2014-10-28,
116,FL116,Collect,,,2014-10-28,
117,FL117,Collect,,,2014-10-28,
118,FL118,Collect,,,2014-10-28,
119,FL119,Collect,,,2014-10-28,
120,FL120,Collect,,,2014-10-28,
121,FM121,Collect,,,2014-10-20,
122,FM122,Collect,,,2014-10-20,
123,FM123,Collect,,,2014-10-20,
124,FM124,Collect,,,2014-10-20,
125,FM125,Collect,,,2014-10-20,
126,FM126,Collect,,,2014-10-20,
127,FM127,Collect,,,2014-10-20,
128,FM128,Collect,,,2014-10-20,
129,FM129,Collect,,,2014-10-20,
130,FM130,Collect,,,2014-10-20,
