assertionID,geneticSequenceID,effectiveDate,type,value,valueNumeric,unit
11187,11181,,reads,,426.0,unit
11187,11181,,relativeAbundance,,0.4498796096819161,percentage
11194,11188,,reads,,19.0,unit
11194,11188,,relativeAbundance,,0.03606271115666401,percentage
11201,11195,,reads,,69.0,unit
11201,11195,,relativeAbundance,,0.15849680709330638,percentage
11208,11202,,reads,,15501.0,unit
11208,11202,,relativeAbundance,,16.692511468630872,percentage
11215,11209,,reads,,26.0,unit
11215,11209,,relativeAbundance,,0.03921982713106965,percentage
11222,11216,,reads,,865.0,unit
11222,11216,,relativeAbundance,,1.2520445235717284,percentage
11229,11223,,reads,,664.0,unit
11229,11223,,relativeAbundance,,1.2690161302652703,percentage
11236,11230,,reads,,94.0,unit
11236,11230,,relativeAbundance,,0.17543204807584636,percentage
11243,11237,,reads,,521.0,unit
11243,11237,,relativeAbundance,,0.5612712092647455,percentage
11250,11244,,reads,,520.0,unit
11250,11244,,relativeAbundance,,1.584979273347964,percentage
11257,11251,,reads,,170.0,unit
11257,11251,,relativeAbundance,,0.6784531268707348,percentage
11264,11258,,reads,,74.0,unit
11264,11258,,relativeAbundance,,0.23602959938759888,percentage
11271,11265,,reads,,140.0,unit
11271,11265,,relativeAbundance,,0.37021366617304846,percentage
11278,11272,,reads,,13.0,unit
11278,11272,,relativeAbundance,,0.03730807863395035,percentage
11285,11279,,reads,,290.0,unit
11285,11279,,relativeAbundance,,1.028295865541451,percentage
11292,11286,,reads,,8.0,unit
11292,11286,,relativeAbundance,,0.021217907914279653,percentage
11299,11293,,reads,,170.0,unit
11299,11293,,relativeAbundance,,0.34113940561475325,percentage
11306,11300,,reads,,41.0,unit
11306,11300,,relativeAbundance,,0.09104434525792197,percentage
11313,11307,,reads,,2.0,unit
11313,11307,,relativeAbundance,,0.008413613226199991,percentage
11320,11314,,reads,,14.0,unit
11320,11314,,relativeAbundance,,0.026580091511457918,percentage
11327,11321,,reads,,30.0,unit
11327,11321,,relativeAbundance,,0.04238186056367874,percentage
11334,11328,,reads,,163.0,unit
11334,11328,,relativeAbundance,,0.2924868560354573,percentage
11341,11335,,reads,,17.0,unit
11341,11335,,relativeAbundance,,0.039049937979510264,percentage
11348,11342,,reads,,8.0,unit
11348,11342,,relativeAbundance,,0.01169094974352979,percentage
11355,11349,,reads,,10.0,unit
11355,11349,,relativeAbundance,,0.015050267894768527,percentage
11362,11356,,reads,,169.0,unit
11362,11356,,relativeAbundance,,0.1819904804979432,percentage
11369,11363,,reads,,94.0,unit
11369,11363,,relativeAbundance,,0.20660248802145148,percentage
11376,11370,,reads,,188.0,unit
11376,11370,,relativeAbundance,,0.4563993008351136,percentage
11383,11377,,reads,,12.0,unit
11383,11377,,relativeAbundance,,0.07688364941055868,percentage
11390,11384,,reads,,13.0,unit
11390,11384,,relativeAbundance,,0.0691011534577154,percentage
11397,11391,,reads,,5.0,unit
11397,11391,,relativeAbundance,,0.030180479266010744,percentage
11404,11398,,reads,,103.0,unit
11404,11398,,relativeAbundance,,0.11037764156200437,percentage
11411,11405,,reads,,42.0,unit
11411,11405,,relativeAbundance,,0.07400620242458415,percentage
11418,11412,,reads,,78.0,unit
11418,11412,,relativeAbundance,,0.1655593997410481,percentage
11425,11419,,reads,,12.0,unit
11425,11419,,relativeAbundance,,0.0181014586758783,percentage
11432,11426,,reads,,193.0,unit
11432,11426,,relativeAbundance,,0.351593099302279,percentage
11439,11433,,reads,,1236.0,unit
11439,11433,,relativeAbundance,,1.5810276679841897,percentage
11446,11440,,reads,,429.0,unit
11446,11440,,relativeAbundance,,0.6172129024832389,percentage
11453,11447,,reads,,10940.0,unit
11453,11447,,relativeAbundance,,13.464283956087234,percentage
11460,11454,,reads,,331.0,unit
11460,11454,,relativeAbundance,,0.5490131033338862,percentage
11467,11461,,reads,,96.0,unit
11467,11461,,relativeAbundance,,0.18347221160461738,percentage
11474,11468,,reads,,19.0,unit
11474,11468,,relativeAbundance,,0.03545966929192639,percentage
11481,11475,,reads,,1232.0,unit
11481,11475,,relativeAbundance,,1.5703069236259815,percentage
11488,11482,,reads,,723.0,unit
11488,11482,,relativeAbundance,,2.1960998724257337,percentage
11495,11489,,reads,,738.0,unit
11495,11489,,relativeAbundance,,0.9816571116934251,percentage
11502,11496,,reads,,24.0,unit
11502,11496,,relativeAbundance,,0.057335340070235795,percentage
11509,11503,,reads,,67.0,unit
11509,11503,,relativeAbundance,,0.19926835796924725,percentage
11516,11510,,reads,,5.0,unit
11516,11510,,relativeAbundance,,0.027676298018377062,percentage
11523,11517,,reads,,19.0,unit
11523,11517,,relativeAbundance,,0.022192632046160676,percentage
11530,11524,,reads,,123.0,unit
11530,11524,,relativeAbundance,,0.20305741737379074,percentage
