materialEntityID,materialEntityType
10271,soil
10272,soil
10273,DNA
10278,soil
10279,soil
10280,DNA
10285,soil
10286,soil
10287,DNA
10292,soil
10293,soil
10294,DNA
10299,soil
10300,soil
10301,DNA
10306,soil
10307,soil
10308,DNA
10313,soil
10314,soil
10315,DNA
10320,soil
10321,soil
10322,DNA
10327,soil
10328,soil
10329,DNA
10334,soil
10335,soil
10336,DNA
10341,soil
10342,soil
10343,DNA
10348,soil
10349,soil
10350,DNA
10355,soil
10356,soil
10357,DNA
10362,soil
10363,soil
10364,DNA
10369,soil
10370,soil
10371,DNA
10376,soil
10377,soil
10378,DNA
10383,soil
10384,soil
10385,DNA
10390,soil
10391,soil
10392,DNA
10397,soil
10398,soil
10399,DNA
10404,soil
10405,soil
10406,DNA
10411,soil
10412,soil
10413,DNA
10418,soil
10419,soil
10420,DNA
10425,soil
10426,soil
10427,DNA
10432,soil
10433,soil
10434,DNA
10439,soil
10440,soil
10441,DNA
10446,soil
10447,soil
10448,DNA
10453,soil
10454,soil
10455,DNA
10460,soil
10461,soil
10462,DNA
10467,soil
10468,soil
10469,DNA
10474,soil
10475,soil
10476,DNA
10481,soil
10482,soil
10483,DNA
10488,soil
10489,soil
10490,DNA
10495,soil
10496,soil
10497,DNA
10502,soil
10503,soil
10504,DNA
10509,soil
10510,soil
10511,DNA
10516,soil
10517,soil
10518,DNA
10523,soil
10524,soil
10525,DNA
10530,soil
10531,soil
10532,DNA
10537,soil
10538,soil
10539,DNA
10544,soil
10545,soil
10546,DNA
10551,soil
10552,soil
10553,DNA
10558,soil
10559,soil
10560,DNA
10565,soil
10566,soil
10567,DNA
10572,soil
10573,soil
10574,DNA
10579,soil
10580,soil
10581,DNA
10586,soil
10587,soil
10588,DNA
10593,soil
10594,soil
10595,DNA
10600,soil
10601,soil
10602,DNA
10607,soil
10608,soil
10609,DNA
10614,soil
10615,soil
10616,DNA
10621,soil
10622,soil
10623,DNA
10628,soil
10629,soil
10630,DNA
10635,soil
10636,soil
10637,DNA
10642,soil
10643,soil
10644,DNA
10649,soil
10650,soil
10651,DNA
10656,soil
10657,soil
10658,DNA
10663,soil
10664,soil
10665,DNA
10670,soil
10671,soil
10672,DNA
10677,soil
10678,soil
10679,DNA
10684,soil
10685,soil
10686,DNA
10691,soil
10692,soil
10693,DNA
10698,soil
10699,soil
10700,DNA
10705,soil
10706,soil
10707,DNA
10712,soil
10713,soil
10714,DNA
10719,soil
10720,soil
10721,DNA
10726,soil
10727,soil
10728,DNA
10733,soil
10734,soil
10735,DNA
10740,soil
10741,soil
10742,DNA
10747,soil
10748,soil
10749,DNA
10754,soil
10755,soil
10756,DNA
10761,soil
10762,soil
10763,DNA
10768,soil
10769,soil
10770,DNA
10775,soil
10776,soil
10777,DNA
10782,soil
10783,soil
10784,DNA
10789,soil
10790,soil
10791,DNA
10796,soil
10797,soil
10798,DNA
10803,soil
10804,soil
10805,DNA
10810,soil
10811,soil
10812,DNA
10817,soil
10818,soil
10819,DNA
10824,soil
10825,soil
10826,DNA
10831,soil
10832,soil
10833,DNA
10838,soil
10839,soil
10840,DNA
10845,soil
10846,soil
10847,DNA
10852,soil
10853,soil
10854,DNA
10859,soil
10860,soil
10861,DNA
10866,soil
10867,soil
10868,DNA
10873,soil
10874,soil
10875,DNA
10880,soil
10881,soil
10882,DNA
10887,soil
10888,soil
10889,DNA
10894,soil
10895,soil
10896,DNA
10901,soil
10902,soil
10903,DNA
10908,soil
10909,soil
10910,DNA
10915,soil
10916,soil
10917,DNA
10922,soil
10923,soil
10924,DNA
10929,soil
10930,soil
10931,DNA
10936,soil
10937,soil
10938,DNA
10943,soil
10944,soil
10945,DNA
10950,soil
10951,soil
10952,DNA
10957,soil
10958,soil
10959,DNA
10964,soil
10965,soil
10966,DNA
10971,soil
10972,soil
10973,DNA
10978,soil
10979,soil
10980,DNA
10985,soil
10986,soil
10987,DNA
10992,soil
10993,soil
10994,DNA
10999,soil
11000,soil
11001,DNA
11006,soil
11007,soil
11008,DNA
11013,soil
11014,soil
11015,DNA
11020,soil
11021,soil
11022,DNA
11027,soil
11028,soil
11029,DNA
11034,soil
11035,soil
11036,DNA
11041,soil
11042,soil
11043,DNA
11048,soil
11049,soil
11050,DNA
11055,soil
11056,soil
11057,DNA
11062,soil
11063,soil
11064,DNA
11069,soil
11070,soil
11071,DNA
11076,soil
11077,soil
11078,DNA
11083,soil
11084,soil
11085,DNA
11090,soil
11091,soil
11092,DNA
11097,soil
11098,soil
11099,DNA
11104,soil
11105,soil
11106,DNA
11111,soil
11112,soil
11113,DNA
11118,soil
11119,soil
11120,DNA
11125,soil
11126,soil
11127,DNA
11132,soil
11133,soil
11134,DNA
11139,soil
11140,soil
11141,DNA
11146,soil
11147,soil
11148,DNA
11153,soil
11154,soil
11155,DNA
11160,soil
11161,soil
11162,DNA
11167,soil
11168,soil
11169,DNA
11174,soil
11175,soil
11176,DNA
