entityAssertionID,entityID,entityAssertionType,entityAssertionValue,entityAssertionValueNumeric,entityAssertionUnit,entityAssertionByAgentID,entityAssertionDate,entityAssertionProtocol,entityAssertionRemarks
enttityassertion1,1df9727c-dde9-498a-824e-cc4f19436117,title,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",,,,,,
enttityassertion2,1df9727c-dde9-498a-824e-cc4f19436117,description,"MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany is an occurrence dataset published by the Research Institute of Nature and Forest (INBO). It is part of the LIFE project MICA, in which innovative techniques are tested for a more efficient control of muskrat and coypu populations, both invasive species. This dataset is a sample of the original dataset and serves as an example of a Camtrap Trap Data Package (Camtrap DP).",,,,,,
enttityassertion3,1df9727c-dde9-498a-824e-cc4f19436117,version,1.0,,,,,,
enttityassertion4,1df9727c-dde9-498a-824e-cc4f19436117,keywords,"[""camera traps"", ""public awareness campaign"", ""flood protection"", ""flood control"", ""damage prevention"", ""animal damage"", ""pest control"", ""invasive alien species"", ""muskrat"", ""coypu""]",,,,,,
enttityassertion5,1df9727c-dde9-498a-824e-cc4f19436117,sources,"[{ ""title"":""Agouti"", ""path"":""https://www.agouti.eu"", ""email"":""agouti@wur.nl"", ""version"":""v3.16""}]",,,,,,
enttityassertion6,1df9727c-dde9-498a-824e-cc4f19436117,references,[],,,,,,
enttityassertion7,organismid_1,organismQuantity,,1,individual,,,,
enttityassertion8,organismid_2,organismQuantity,,1,individual,,,,
enttityassertion9,organismid_3,organismQuantity,,1,individual,,,,
enttityassertion10,organismid_4,organismQuantity,,1,individual,,,,
enttityassertion11,organismid_5,organismQuantity,,9,individual,,,,
enttityassertion12,organismid_6,organismQuantity,,1,individual,,,,
enttityassertion13,organismid_7,organismQuantity,,4,individual,,,,
enttityassertion14,organismid_8,organismQuantity,,1,individual,,,,
enttityassertion15,organismid_9,organismQuantity,,1,individual,,,,
enttityassertion16,organismid_10,organismQuantity,,1,individual,,,,
enttityassertion17,organismid_11,organismQuantity,,4,individual,,,,
enttityassertion18,organismid_12,organismQuantity,,4,individual,,,,
enttityassertion19,organismid_13,organismQuantity,,1,individual,,,,
enttityassertion20,organismid_14,organismQuantity,,2,individual,,,,
enttityassertion21,organismid_15,organismQuantity,,5,individual,,,,
enttityassertion22,organismid_16,organismQuantity,,3,individual,,,,
enttityassertion23,organismid_17,organismQuantity,,3,individual,,,,
enttityassertion24,organismid_18,organismQuantity,,1,individual,,,,
enttityassertion25,organismid_19,organismQuantity,,1,individual,,,,
enttityassertion26,organismid_20,organismQuantity,,1,individual,,,,
enttityassertion27,organismid_21,organismQuantity,,1,individual,,,,
enttityassertion28,organismid_22,organismQuantity,,1,individual,,,,
enttityassertion29,organismid_23,organismQuantity,,1,individual,,,,
enttityassertion30,organismid_24,organismQuantity,,1,individual,,,,
enttityassertion31,organismid_25,organismQuantity,,1,individual,,,,
enttityassertion32,organismid_26,organismQuantity,,1,individual,,,,
enttityassertion33,organismid_27,organismQuantity,,1,individual,,,,
enttityassertion34,organismid_28,organismQuantity,,1,individual,,,,
enttityassertion35,organismid_29,organismQuantity,,2,individual,,,,
enttityassertion36,organismid_1,lifeStage,adult,,,,,,
enttityassertion37,organismid_2,lifeStage,adult,,,,,,
enttityassertion38,organismid_3,lifeStage,adult,,,,,,
enttityassertion39,organismid_5,lifeStage,juvenile,,,,,,
enttityassertion40,organismid_6,lifeStage,adult,,,,,,
enttityassertion41,organismid_8,lifeStage,adult,,,,,,
enttityassertion42,organismid_10,lifeStage,adult,,,,,,
enttityassertion43,organismid_13,lifeStage,subadult,,,,,,
enttityassertion44,organismid_14,lifeStage,adult,,,,,,
enttityassertion45,organismid_16,lifeStage,subadult,,,,,,
enttityassertion46,organismid_17,lifeStage,subadult,,,,,,
enttityassertion47,organismid_18,lifeStage,subadult,,,,,,
enttityassertion48,organismid_19,lifeStage,subadult,,,,,,
enttityassertion49,organismid_20,lifeStage,adult,,,,,,
enttityassertion50,organismid_21,lifeStage,adult,,,,,,
enttityassertion51,organismid_22,lifeStage,adult,,,,,,
enttityassertion52,organismid_23,lifeStage,adult,,,,,,
enttityassertion53,organismid_24,lifeStage,adult,,,,,,
enttityassertion54,organismid_25,lifeStage,adult,,,,,,
enttityassertion55,organismid_1,sex,female,,,,,,
enttityassertion56,organismid_2,sex,male,,,,,,
enttityassertion57,organismid_3,sex,female,,,,,,
enttityassertion58,organismid_6,sex,female,,,,,,
enttityassertion59,organismid_8,sex,male,,,,,,
enttityassertion60,organismid_10,sex,female,,,,,,
enttityassertion61,organismid_14,sex,female,,,,,,
