identificationID,identificationAssertionType,identificationAssertionValue,identificationAssertionValueNumeric,identificationAssertionUnit,identificationEntityAssertionByAgentID,identificationAssertionDate,identificationAssertionProtocol,identificationAssertionRemarks
identificationid_1,observationType,animal,,,,,,
identificationid_2,observationType,animal,,,,,,
identificationid_3,observationType,animal,,,,,,
identificationid_4,observationType,animal,,,,,,
identificationid_5,observationType,animal,,,,,,
identificationid_6,observationType,animal,,,,,,
identificationid_7,observationType,animal,,,,,,
identificationid_8,observationType,animal,,,,,,
identificationid_9,observationType,animal,,,,,,
identificationid_10,observationType,animal,,,,,,
identificationid_11,observationType,animal,,,,,,
identificationid_12,observationType,animal,,,,,,
identificationid_13,observationType,animal,,,,,,
identificationid_14,observationType,animal,,,,,,
identificationid_15,observationType,animal,,,,,,
identificationid_16,observationType,animal,,,,,,
identificationid_17,observationType,animal,,,,,,
identificationid_18,observationType,animal,,,,,,
identificationid_19,observationType,animal,,,,,,
identificationid_20,observationType,animal,,,,,,
identificationid_21,observationType,animal,,,,,,
identificationid_22,observationType,animal,,,,,,
identificationid_23,observationType,animal,,,,,,
identificationid_24,observationType,animal,,,,,,
identificationid_25,observationType,animal,,,,,,
identificationid_26,observationType,animal,,,,,,
identificationid_27,observationType,animal,,,,,,
identificationid_28,observationType,animal,,,,,,
identificationid_29,observationType,human,,,,,,
