identificationID,taxonID,taxonOrder
identificationid_1,DGP6,1
identificationid_2,DGP6,1
identificationid_3,DGP6,1
identificationid_4,4RM67,1
identificationid_5,DGP6,1
identificationid_6,DGP6,1
identificationid_7,DGP6,1
identificationid_8,DGP6,1
identificationid_9,GCHS,1
identificationid_10,DGP6,1
identificationid_11,DGP6,1
identificationid_12,4RM67,1
identificationid_13,DGPL,1
identificationid_14,DGPL,1
identificationid_15,DGP6,1
identificationid_16,DGP6,1
identificationid_17,DGP6,1
identificationid_18,DGP6,1
identificationid_19,DGPL,1
identificationid_20,RQPW,1
identificationid_21,44QYC,1
identificationid_22,44QYC,1
identificationid_23,5BSG3,1
identificationid_24,3Y9VW,1
identificationid_25,44QYC,1
identificationid_26,GCHS,1
identificationid_27,32FH,1
identificationid_28,GCHS,1
identificationid_29,6MB3T,1
