eventID,eventAssertionType,eventAssertionValue,eventAssertionValueNumeric,eventAssertionUnit,eventAssertionByAgentID,eventAssertionDate,eventAssertionProtocol,eventAssertionRemarks
123456,status,open,,,2,2021-10-11,,
123456,status,in process,,,2,2021-10-12,,
123456,status,in process,,,2,2021-10-13,,
123456,status,in process,,,2,2021-10-14,,
123456,status,closed,,,2,2021-10-15,,
3,conibaer trap count,,3,traps,3,2021-10-12,,
5,conibaer trap count,,3,traps,3,2021-10-13,,
3,field effort,,1,h,3,2021-10-12,,
5,field effort,,0.5,h,3,2021-10-13,,
8,field effort,,1,h,3,2021-10-14,,
3,conibaer trap effort,,24,h,3,2021-10-13,,
5,conibaer trap effort,,24,h,3,2021-10-14,,
