geneticSequenceID,taxonID,sequenceTaxonAuthorityID,confidence
11181,SH180492.07FU,unite_v3,100.0
11188,SH180492.07FU,unite_v3,100.0
11195,SH180492.07FU,unite_v3,100.0
11202,SH180492.07FU,unite_v3,100.0
11209,SH180492.07FU,unite_v3,100.0
11216,SH180492.07FU,unite_v3,100.0
11223,SH180492.07FU,unite_v3,100.0
11230,SH180492.07FU,unite_v3,100.0
11237,SH180492.07FU,unite_v3,100.0
11244,SH209756.07FU,unite_v3,100.0
11251,SH209756.07FU,unite_v3,100.0
11258,SH209756.07FU,unite_v3,100.0
11265,SH209756.07FU,unite_v3,100.0
11272,SH209756.07FU,unite_v3,100.0
11279,SH209756.07FU,unite_v3,100.0
11286,SH209756.07FU,unite_v3,100.0
11293,SH209756.07FU,unite_v3,100.0
11300,SH209756.07FU,unite_v3,100.0
11307,SH209756.07FU,unite_v3,100.0
11314,SH209756.07FU,unite_v3,100.0
11321,SH209756.07FU,unite_v3,100.0
11328,SH209756.07FU,unite_v3,100.0
11335,SH209756.07FU,unite_v3,100.0
11342,SH209756.07FU,unite_v3,100.0
11349,SH209756.07FU,unite_v3,100.0
11356,SH209756.07FU,unite_v3,100.0
11363,SH209756.07FU,unite_v3,100.0
11370,SH209756.07FU,unite_v3,100.0
11377,SH209756.07FU,unite_v3,100.0
11384,SH209756.07FU,unite_v3,100.0
11391,SH209756.07FU,unite_v3,100.0
11398,SH209756.07FU,unite_v3,100.0
11405,SH209756.07FU,unite_v3,100.0
11412,SH209756.07FU,unite_v3,100.0
11419,SH209756.07FU,unite_v3,100.0
11426,SH209756.07FU,unite_v3,100.0
11433,SH209756.07FU,unite_v3,100.0
11440,SH209756.07FU,unite_v3,100.0
11447,SH209756.07FU,unite_v3,100.0
11454,SH209756.07FU,unite_v3,100.0
11461,SH209756.07FU,unite_v3,100.0
11468,SH209756.07FU,unite_v3,100.0
11475,SH209756.07FU,unite_v3,100.0
11482,SH209756.07FU,unite_v3,100.0
11489,SH209756.07FU,unite_v3,100.0
11496,SH209756.07FU,unite_v3,100.0
11503,SH209756.07FU,unite_v3,100.0
11510,SH209756.07FU,unite_v3,100.0
11517,SH209756.07FU,unite_v3,100.0
11524,SH209756.07FU,unite_v3,100.0
11531,SH209756.07FU,unite_v3,100.0
11538,SH181879.07FU,unite_v3,100.0
11545,SH181879.07FU,unite_v3,100.0
11552,SH181879.07FU,unite_v3,100.0
11559,SH181879.07FU,unite_v3,100.0
11566,SH181879.07FU,unite_v3,100.0
11573,SH181879.07FU,unite_v3,100.0
11580,SH181879.07FU,unite_v3,100.0
11587,SH181879.07FU,unite_v3,100.0
11594,SH181879.07FU,unite_v3,100.0
11601,SH181879.07FU,unite_v3,100.0
11608,SH181879.07FU,unite_v3,100.0
11615,SH181879.07FU,unite_v3,100.0
11622,SH181879.07FU,unite_v3,100.0
11629,SH181879.07FU,unite_v3,100.0
11636,SH181879.07FU,unite_v3,100.0
11643,SH181879.07FU,unite_v3,100.0
11650,SH181879.07FU,unite_v3,100.0
11657,SH181879.07FU,unite_v3,100.0
11664,SH181879.07FU,unite_v3,100.0
11671,SH181879.07FU,unite_v3,100.0
11678,SH181879.07FU,unite_v3,100.0
11685,SH181879.07FU,unite_v3,100.0
11692,SH181879.07FU,unite_v3,100.0
11699,SH181879.07FU,unite_v3,100.0
11706,SH181879.07FU,unite_v3,100.0
11713,SH181879.07FU,unite_v3,100.0
11720,SH181879.07FU,unite_v3,100.0
11727,SH181879.07FU,unite_v3,100.0
11734,SH181879.07FU,unite_v3,100.0
11741,SH181879.07FU,unite_v3,100.0
11748,SH181879.07FU,unite_v3,100.0
11755,SH181879.07FU,unite_v3,100.0
11762,SH181879.07FU,unite_v3,100.0
11769,SH181879.07FU,unite_v3,100.0
11776,SH181879.07FU,unite_v3,100.0
11783,SH181879.07FU,unite_v3,100.0
11790,SH181879.07FU,unite_v3,100.0
11797,SH181879.07FU,unite_v3,100.0
11804,SH181879.07FU,unite_v3,100.0
11811,SH181879.07FU,unite_v3,100.0
11818,SH181879.07FU,unite_v3,100.0
11825,SH181879.07FU,unite_v3,100.0
11832,SH181879.07FU,unite_v3,100.0
11839,SH181879.07FU,unite_v3,100.0
11846,SH181879.07FU,unite_v3,100.0
11853,SH181879.07FU,unite_v3,100.0
11860,SH181879.07FU,unite_v3,100.0
11867,SH181879.07FU,unite_v3,100.0
11874,SH181879.07FU,unite_v3,100.0
11881,SH181879.07FU,unite_v3,100.0
11888,SH181879.07FU,unite_v3,100.0
11895,SH181879.07FU,unite_v3,100.0
11902,SH181879.07FU,unite_v3,100.0
11909,SH181879.07FU,unite_v3,100.0
11916,SH181879.07FU,unite_v3,100.0
11923,SH181879.07FU,unite_v3,100.0
11930,SH181879.07FU,unite_v3,100.0
11937,SH181879.07FU,unite_v3,100.0
11944,SH181879.07FU,unite_v3,100.0
11951,SH181879.07FU,unite_v3,100.0
11958,SH181879.07FU,unite_v3,100.0
11965,SH181879.07FU,unite_v3,100.0
11972,SH181879.07FU,unite_v3,100.0
11979,SH181879.07FU,unite_v3,100.0
11986,SH181879.07FU,unite_v3,100.0
11993,SH181879.07FU,unite_v3,100.0
12000,SH181879.07FU,unite_v3,100.0
12007,SH181879.07FU,unite_v3,100.0
12014,SH181879.07FU,unite_v3,100.0
12021,SH181879.07FU,unite_v3,100.0
12028,SH181879.07FU,unite_v3,100.0
12035,SH181879.07FU,unite_v3,100.0
12042,SH181879.07FU,unite_v3,100.0
12049,SH181879.07FU,unite_v3,100.0
12056,SH181879.07FU,unite_v3,100.0
12063,SH181879.07FU,unite_v3,100.0
12070,SH181879.07FU,unite_v3,100.0
12077,SH181879.07FU,unite_v3,100.0
12084,SH181879.07FU,unite_v3,100.0
12091,SH181879.07FU,unite_v3,100.0
12098,SH181879.07FU,unite_v3,100.0
12105,SH181879.07FU,unite_v3,100.0
12112,SH181879.07FU,unite_v3,100.0
12119,SH181879.07FU,unite_v3,100.0
12126,SH181879.07FU,unite_v3,100.0
12133,SH181879.07FU,unite_v3,100.0
12140,SH181879.07FU,unite_v3,100.0
12147,SH181879.07FU,unite_v3,100.0
12154,SH181879.07FU,unite_v3,100.0
